Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10384,10548,10384,10519,10519,93770
2010-01-05,10520,10538,10455,10515,10515,93287
2010-01-06,10514,10544,10479,10516,10516,97172
2010-01-07,10518,10560,10451,10545,10545,112280
2010-01-08,10548,10579,10496,10566,10566,79925
2010-01-11,10573,10623,10537,10604,10604,93891
2010-01-12,10592,10603,10514,10588,10588,126885
2010-01-13,10589,10656,10561,10628,10628,113576
2010-01-14,10626,10672,10604,10663,10663,80520
2010-01-15,10673,10679,10508,10563,10563,140591
2010-01-19,10561,10687,10519,10670,10670,118550
2010-01-20,10665,10676,10467,10557,10557,157058
2010-01-21,10556,10591,10327,10338,10338,208152
2010-01-22,10336,10375,10111,10151,10151,213602
2010-01-25,10166,10249,10124,10140,10140,139820
2010-01-26,10149,10236,10054,10138,10138,164295
2010-01-27,10140,10205,10055,10195,10195,189543
2010-01-28,10188,10264,10005,10062,10062,195686
2010-01-29,10070,10192,9994,10017,10017,189885
2010-02-01,10013,10145,10005,10137,10137,121767
2010-02-02,10137,10266,10103,10224,10224,137521
2010-02-03,10226,10261,10187,10241,10241,112524
2010-02-04,10240,10255,9955,9979,9979,201473
2010-02-05,9978,10004,9791,9941,9941,242968
2010-02-08,9954,9995,9865,9895,9895,136084
2010-02-09,9894,10104,9878,10004,10004,184076
2010-02-10,10007,10057,9928,9985,9985,132693
2010-02-11,9987,10129,9940,10110,10110,138599
2010-02-12,10109,10140,9951,10117,10117,157876
2010-02-16,10109,10252,10067,10241,10241,106060
2010-02-17,10237,10300,10232,10296,10296,103760
2010-02-18,10298,10385,10245,10375,10375,102175
2010-02-19,10378,10421,10277,10378,10378,121653
2010-02-22,10368,10434,10352,10374,10374,79563
2010-02-23,10366,10414,10251,10299,10299,126264
2010-02-24,10298,10379,10269,10355,10355,109736
2010-02-25,10355,10355,10172,10316,10316,147608
2010-02-26,10315,10354,10258,10311,10311,98493
2010-03-01,10324,10403,10324,10385,10385,90632
2010-03-02,10382,10447,10371,10399,10399,89843
2010-03-03,10395,10458,10364,10387,10387,105116
2010-03-04,10384,10440,10351,10431,10431,93330
2010-03-05,10430,10561,10427,10545,10545,118673
2010-03-08,10544,10579,10532,10538,10538,78556
2010-03-09,10538,10606,10500,10564,10564,107360
2010-03-10,10560,10597,10520,10565,10565,111083
2010-03-11,10569,10612,10505,10610,10610,75718
2010-03-12,10608,10661,10595,10635,10635,43270
2010-03-15,10635,10644,10569,10638,10638,33095
2010-03-16,10637,10693,10622,10686,10686,36672
2010-03-17,10686,10768,10679,10726,10726,21795
2010-03-18,10729,10786,10708,10780,10780,15538
2010-03-19,10780,10829,10775,10850,10850,127256
2010-03-22,10662,10749,10617,10727,10727,117736
2010-03-23,10725,10831,10717,10828,10828,113084
2010-03-24,10827,10829,10762,10787,10787,124163
2010-03-25,10784,10894,10772,10791,10791,138933
2010-03-26,10789,10847,10753,10798,10798,128354
2010-03-29,10805,10857,10800,10829,10829,83141
2010-03-30,10825,10879,10805,10854,10854,96893
