Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1117.699951,1122.300049,1097.099976,1117.699951,1117.699951,184
2010-01-05,1118.099976,1126.5,1115,1118.099976,1118.099976,53
2010-01-06,1135.900024,1139.199951,1120.699951,1135.900024,1135.900024,363
2010-01-07,1133.099976,1133.099976,1129.199951,1133.099976,1133.099976,56
2010-01-08,1138.199951,1138.199951,1122.699951,1138.199951,1138.199951,54
2010-01-11,1150.699951,1161.199951,1143,1150.699951,1150.699951,177
2010-01-12,1128.900024,1157.199951,1127.199951,1128.900024,1128.900024,51
2010-01-13,1136.400024,1136.400024,1121,1136.400024,1136.400024,58
2010-01-14,1137,1145.900024,1132.800049,1142.599976,1142.599976,81
2010-01-15,1132.800049,1133.400024,1127.199951,1130.099976,1130.099976,50
2010-01-19,1139.699951,1139.699951,1130.5,1139.699951,1139.699951,22
2010-01-20,1123.300049,1133,1109.800049,1112.300049,1112.300049,28
2010-01-21,1102.699951,1107.5,1090.199951,1102.699951,1102.699951,99
2010-01-22,1089.199951,1095.400024,1083,1089.199951,1089.199951,58
2010-01-25,1095.199951,1095.199951,1095.199951,1095.199951,1095.199951,8
2010-01-26,1097.900024,1097.900024,1097.900024,1097.900024,1097.900024,4
2010-01-27,1084.400024,1084.400024,1084.400024,1084.400024,1084.400024,206694
2010-01-28,1087.800049,1095.699951,1073.199951,1083.599976,1083.599976,101168
2010-01-29,1085,1090.800049,1074.5,1083,1083,11456
2010-02-01,1081,1107.300049,1076.800049,1104.300049,1104.300049,2452
2010-02-02,1117.400024,1118.5,1100.199951,1117.400024,1117.400024,3326
2010-02-03,1115.800049,1124.900024,1108.599976,1111.400024,1111.400024,853
2010-02-04,1110,1110.699951,1059,1062.400024,1062.400024,1426
2010-02-05,1052.199951,1068.5,1045.199951,1052.199951,1052.199951,1956
2010-02-08,1065.699951,1073.400024,1061.599976,1065.699951,1065.699951,549
2010-02-09,1076.699951,1082,1063.099976,1076.699951,1076.699951,387
2010-02-10,1075.800049,1081.099976,1063.300049,1075.800049,1075.800049,640
2010-02-11,1076.800049,1097.099976,1075.599976,1094.199951,1094.199951,1491
2010-02-12,1089.5,1092,1079.800049,1089.5,1089.5,197
2010-02-16,1119.300049,1120.400024,1092.400024,1119.300049,1119.300049,928
2010-02-17,1119.5,1127,1108.5,1119.5,1119.5,1083
2010-02-18,1118,1123.699951,1100.800049,1118,1118,989
2010-02-19,1121.300049,1126.199951,1099.699951,1121.300049,1121.300049,137
2010-02-22,1112.599976,1127.400024,1110,1112.599976,1112.599976,124
2010-02-23,1116.400024,1118.300049,1102.599976,1102.699951,1102.699951,152
2010-02-24,1096.5,1096.5,1096.5,1096.5,1096.5,751
2010-02-25,1107.800049,1108.199951,1088.699951,1107.800049,1107.800049,386
2010-02-26,1106.800049,1118.300049,1106.800049,1118.300049,1118.300049,382
2010-03-01,1119.300049,1121.900024,1113.599976,1117.800049,1117.800049,184
2010-03-02,1136.900024,1137.400024,1115.699951,1136.900024,1136.900024,155
2010-03-03,1142.699951,1145,1133.699951,1142.699951,1142.699951,170
2010-03-04,1132.599976,1139,1128.599976,1132.599976,1132.599976,118
2010-03-05,1134.800049,1134.800049,1134.800049,1134.800049,1134.800049,129
2010-03-08,1123.599976,1123.599976,1123.599976,1123.599976,1123.599976,17
2010-03-09,1122,1124,1113.099976,1122,1122,27
2010-03-10,1107.800049,1127.099976,1106.900024,1107.800049,1107.800049,21
2010-03-11,1108,1108,1108,1108,1108,46
2010-03-12,1101.5,1117.400024,1099.900024,1101.5,1101.5,135
2010-03-15,1105.099976,1107.099976,1101.400024,1105.099976,1105.099976,21
2010-03-16,1122.199951,1127,1114.5,1122.199951,1122.199951,66
2010-03-17,1124,1131.400024,1118,1124,1124,29
2010-03-18,1127.400024,1127.800049,1121.099976,1127.400024,1127.400024,86
2010-03-19,1107.400024,1107.400024,1107.400024,1107.400024,1107.400024,54
2010-03-22,1099.300049,1099.300049,1099.300049,1099.300049,1099.300049,71
2010-03-23,1103.5,1103.5,1103.5,1103.5,1103.5,16
2010-03-24,1088.599976,1092.400024,1085.5,1088.599976,1088.599976,9
2010-03-25,1092.699951,1092.699951,1086.699951,1092.699951,1092.699951,8
2010-03-26,1104.199951,1104.199951,1104.199951,1104.199951,1104.199951,5
2010-03-29,1110.300049,1110.300049,1110.300049,1110.300049,1110.300049,158733
2010-03-30,1109.699951,1112.900024,1101.099976,1104.5,1104.5,56533
2010-03-31,1103.099976,1118.699951,1102,1113.300049,1113.300049,5950
2010-04-01,1125.099976,1127.699951,1111.300049,1125.099976,1125.099976,2696
2010-04-05,1122.300049,1133.300049,1119.900024,1132.900024,1132.900024,567
2010-04-06,1130.800049,1138.5,1122.699951,1135.099976,1135.099976,2490
2010-04-07,1152.300049,1153,1132.599976,1152.300049,1152.300049,1342
2010-04-08,1152.199951,1152.300049,1144,1152.199951,1152.199951,254
2010-04-09,1161.099976,1164.800049,1150.5,1161.099976,1161.099976,505
2010-04-12,1161.599976,1169,1154.599976,1161.599976,1161.599976,483
2010-04-13,1152.800049,1157,1145,1152.800049,1152.800049,278
2010-04-14,1159,1160.599976,1151.199951,1159,1159,162
2010-04-15,1157.5,1159.800049,1151,1159.699951,1159.699951,179
2010-04-16,1136.300049,1160,1130.400024,1136.300049,1136.300049,483
2010-04-19,1135.199951,1137.099976,1124,1135.199951,1135.199951,145
2010-04-20,1138.599976,1145.800049,1136,1138.599976,1138.599976,80
2010-04-21,1148.199951,1150,1138.400024,1148.199951,1148.199951,68
2010-04-22,1142.300049,1144,1133.599976,1142.300049,1142.300049,213
2010-04-23,1153.099976,1153.099976,1153.099976,1153.099976,1153.099976,40
2010-04-26,1160.099976,1160.099976,1151.400024,1153.5,1153.5,108
2010-04-27,1152.800049,1170.699951,1148.599976,1161.699951,1161.699951,213
2010-04-28,1171.300049,1171.300049,1171.300049,1171.300049,1171.300049,299
2010-04-29,1168.400024,1171.199951,1164,1168.400024,1168.400024,166
2010-04-30,1180.099976,1181.300049,1170,1180.099976,1180.099976,146
