Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,6349.5,6409.25,6154,6371,6371,659316
2019-01-03,6242.75,6304.25,6148.5,6162,6162,714536
2019-01-04,6168.75,6462,6136.5,6434,6434,696539
2019-01-07,6451.25,6535.75,6402.5,6496.5,6496.5,516597
2019-01-08,6506,6586.25,6467.25,6557.25,6557.25,539049
2019-01-09,6546.75,6645,6546.75,6604.75,6604.75,496789
2019-01-10,6597.25,6641.75,6527.5,6625.25,6625.25,496364
2019-01-11,6622.5,6632.5,6572,6612.75,6612.75,364787
2019-01-14,6599,6602.5,6521.5,6545,6545,364990
2019-01-15,6543,6689,6542.25,6676.75,6676.75,492324
2019-01-16,6674.5,6737.25,6664,6666.25,6666.25,443742
2019-01-17,6670,6760,6612.25,6720,6720,472761
2019-01-18,6722.75,6828.25,6712,6792.75,6792.75,499881
2019-01-21,0,0,0,0,6722.875,0
2019-01-22,6794.5,6794.5,6611.5,6653,6653,651258
2019-01-23,6652,6724.25,6592.25,6665.25,6665.25,515044
2019-01-24,6663,6718.5,6653,6675,6675,449017
2019-01-25,6684.5,6810.5,6676.75,6791.25,6791.25,446822
2019-01-28,6784.25,6791,6648.25,6701.75,6701.75,490045
2019-01-29,6695.25,6721,6616.75,6638.75,6638.75,441622
2019-01-30,6690.25,6845.25,6657.75,6837.25,6837.25,526133
2019-01-31,6844.25,6943,6839.25,6914.75,6914.75,557023
2019-02-01,6911,6927.5,6860.5,6877.75,6877.75,461403
2019-02-04,6863.75,6983,6858.25,6937.5,6937.5,353660
2019-02-05,6937.5,7033.75,6928.25,7008,7008,369764
2019-02-06,7009.25,7038.75,6972.25,6995.75,6995.75,376560
2019-02-07,6988,6994.75,6856.25,6905.5,6905.5,595400
2019-02-08,6902,6926.25,6841,6916.75,6916.75,464342
2019-02-11,6921.75,6969.5,6896.25,6914.25,6914.25,384589
2019-02-12,6908.5,7028.5,6903,7018.5,7018.5,363950
2019-02-13,7017.25,7069.75,7012,7016.25,7016.25,359971
2019-02-14,7017.25,7057.5,6972,7019.75,7019.75,490159
2019-02-15,7017.5,7095.25,6975.25,7063.75,7063.75,430944
2019-02-18,0,0,0,0,7066,0
2019-02-19,7063.75,7094.75,7035.25,7068.25,7068.25,386613
2019-02-20,7068.75,7105,7032.25,7073.25,7073.25,418267
2019-02-21,7070.75,7113.75,7005,7034.5,7034.5,432866
2019-02-22,7031.25,7101.25,7019.25,7088.25,7088.25,367501
2019-02-25,7108.5,7168.5,7102,7125.75,7125.75,346624
2019-02-26,7122,7151,7073.25,7117.75,7117.75,362741
2019-02-27,7109.25,7131.75,7048,7121.75,7121.75,367938
2019-02-28,7121.25,7130.75,7072.5,7102.5,7102.5,360883
2019-03-01,7106.5,7164.5,7098.25,7156,7156,383198
2019-03-04,7177,7211.5,7074.5,7145.75,7145.75,556660
2019-03-05,7144.5,7182,7124.25,7165.5,7165.5,364928
2019-03-06,7156,7171.25,7107,7111.25,7111.25,444302
2019-03-07,7109,7123.25,7003.25,7027.5,7027.5,556540
2019-03-08,7025.5,7034,6939,7026.75,7026.75,312130
2019-03-11,7022.25,7176.75,6997.5,7164.75,7164.75,203726
2019-03-12,7176,7223,7163.25,7206.5,7206.5,167990
2019-03-13,7209.25,7295.5,7183.75,7267.75,7267.75,127111
2019-03-14,7273.25,7293.5,7237.75,7239.75,7239.75,82276
2019-03-15,7245.75,7288,7243,7270.350098,7270.350098,412124
2019-03-18,7338,7379.5,7321.75,7360.75,7360.75,366874
2019-03-19,7362.25,7421.25,7351.25,7376.5,7376.5,427134
2019-03-20,7378,7458,7349.5,7409.5,7409.5,550615
2019-03-21,7400.5,7541,7367.75,7534.5,7534.5,523249
2019-03-22,7526.75,7544.75,7353,7368.75,7368.75,694561
2019-03-25,7372.25,7390.5,7290,7355.25,7355.25,596897
2019-03-26,7363,7447.5,7340.5,7376.75,7376.75,557412
2019-03-27,7383.5,7404.75,7276,7334.5,7334.5,592979
2019-03-28,7323.5,7372.5,7289.5,7352,7352,446378
2019-03-29,7350.25,7414.5,7350.25,7400.5,7400.5,395579
2019-04-01,7430,7506.5,7428.5,7498.5,7498.5,412914
2019-04-02,7495.25,7532.5,7483.75,7519.25,7519.25,359192
2019-04-03,7517,7616.25,7513.25,7582.25,7582.25,483546
2019-04-04,7581.25,7598,7522,7561.5,7561.5,432440
2019-04-05,7565,7612.75,7556,7604.25,7604.25,358710
2019-04-08,7607.75,7629.25,7561.25,7623.5,7623.5,333328
2019-04-09,7625.75,7633.75,7578.75,7593.25,7593.25,389517
2019-04-10,7590.5,7646,7575.75,7641.25,7641.25,332696
2019-04-11,7644,7661,7601.5,7617.25,7617.25,340950
2019-04-12,7617,7665,7611,7652.25,7652.25,346210
2019-04-15,7654,7659,7598.75,7647.75,7647.75,322483
2019-04-16,7650.75,7695,7648.75,7679.5,7679.5,373199
2019-04-17,7676.5,7733.5,7668.5,7689.75,7689.75,463944
2019-04-18,7691.5,7723,7660.25,7712.5,7712.5,393586
2019-04-19,0,0,0,0,7723.625,0
2019-04-22,7715.25,7746.75,7669.75,7734.75,7734.75,253668
2019-04-23,7738,7843.75,7724.5,7838,7838,427149
2019-04-24,7833.5,7852.75,7802.25,7847.75,7847.75,387633
2019-04-25,7855.25,7879.5,7792,7798.5,7798.5,488329
2019-04-26,7799.25,7845.5,7755.5,7840.25,7840.25,467051
2019-04-29,7837.25,7867.75,7805.5,7813.75,7813.75,320324
