Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1113.75,1129.75,1113.25,1128.75,1128.75,1291254
2010-01-05,1128.5,1133,1125,1132.25,1132.25,1378593
2010-01-06,1132,1135.5,1127.25,1133,1133,1259921
2010-01-07,1133,1138.75,1127,1137.5,1137.5,1567025
2010-01-08,1137.25,1141.75,1131,1141.5,1141.5,1527666
2010-01-11,1141.75,1148,1137.75,1142.5,1142.5,1456443
2010-01-12,1141.25,1143,1127.75,1134,1134,2117166
2010-01-13,1134.25,1145.25,1129.25,1141.5,1141.5,2131642
2010-01-14,1141.5,1147,1138.25,1145.25,1145.25,1355731
2010-01-15,1146.75,1147.25,1127.5,1132.25,1132.25,2059496
2010-01-19,1131.75,1147,1126.25,1145.75,1145.75,1927993
2010-01-20,1145,1146.5,1125.25,1134,1134,2391710
2010-01-21,1134.5,1139.25,1110.25,1111,1111,3438955
2010-01-22,1109.75,1115.75,1086.25,1091,1091,3544446
2010-01-25,1094,1103,1089.75,1092.5,1092.5,2080292
2010-01-26,1094,1100,1081,1087.25,1087.25,2449263
2010-01-27,1087.5,1096.25,1078.5,1094.5,1094.5,2634603
2010-01-28,1094.5,1103.5,1074.25,1079.25,1079.25,3052088
2010-01-29,1081,1093.25,1066.5,1070.5,1070.5,3068079
2010-02-01,1070,1086.5,1068,1086.25,1086.25,1896011
2010-02-02,1086,1101.5,1082,1097.25,1097.25,2104398
2010-02-03,1097,1100.25,1090.5,1096.5,1096.5,1883815
2010-02-04,1096.25,1098.25,1059.25,1061.75,1061.75,3302110
2010-02-05,1061.75,1065,1040.75,1059.75,1059.75,3983950
2010-02-08,1062,1068.5,1053,1056,1056,2061320
2010-02-09,1055.5,1077,1054,1066.25,1066.25,3014475
2010-02-10,1066.5,1072.5,1056.25,1063.25,1063.25,2204772
2010-02-11,1063.5,1078,1057.5,1076.5,1076.5,2262497
2010-02-12,1076.25,1079.75,1060,1079,1079,2747993
2010-02-16,1077.5,1094,1073.5,1093.25,1093.25,1761523
2010-02-17,1093.25,1100,1092.5,1099.5,1099.5,1669958
2010-02-18,1099.75,1106.75,1093,1105.5,1105.5,1832739
2010-02-19,1105.5,1111,1092.5,1106.25,1106.25,2096659
2010-02-22,1106,1112.75,1103.5,1107.5,1107.5,1317880
2010-02-23,1107,1112.75,1090.25,1097.25,1097.25,2224420
2010-02-24,1096.75,1105.5,1092.5,1103.5,1103.5,1882885
2010-02-25,1103,1103.5,1084.5,1102.25,1102.25,2697610
2010-02-26,1102,1107.75,1096.25,1103.5,1103.5,1944020
2010-03-01,1105.5,1115.5,1104.25,1114.5,1114.5,1615001
2010-03-02,1114.25,1122.75,1112.75,1117.5,1117.5,1502795
2010-03-03,1117.5,1125,1115,1118.5,1118.5,1583814
2010-03-04,1118.25,1123.5,1114,1122.25,1122.25,1490362
2010-03-05,1122,1138.75,1121.5,1136.5,1136.5,1869074
2010-03-08,1136.25,1140.5,1135,1137,1137,1179723
