Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2508,2521.25,2452.25,2511,2511,1969697
2019-01-03,2482.25,2493.5,2443.25,2447.75,2447.75,2257341
2019-01-04,2451.75,2539.25,2438.5,2531.25,2531.25,2350836
2019-01-07,2537.25,2567.5,2523.25,2550.5,2550.5,1632131
2019-01-08,2553.25,2581.25,2547.5,2572.5,2572.5,1664892
2019-01-09,2569.5,2596.75,2568.5,2582.5,2582.5,1596941
2019-01-10,2580,2599.5,2560.5,2594,2594,1534119
2019-01-11,2594,2597.75,2577,2595,2595,1213026
2019-01-14,2588.5,2592,2567.25,2580.5,2580.5,1199404
2019-01-15,2581.5,2613.75,2580,2605.5,2605.5,1532494
2019-01-16,2605.75,2626.25,2602.5,2613.25,2613.25,1330329
2019-01-17,2614.5,2645.5,2596.5,2635.25,2635.25,1508869
2019-01-18,2636.75,2677.75,2632.75,2671.5,2671.5,1753852
2019-01-21,0,0,0,0,2651.75,0
2019-01-22,2669.25,2673.5,2616.5,2632,2632,1880446
2019-01-23,2630.75,2653.75,2612.5,2638.25,2638.25,1576181
2019-01-24,2635,2647.5,2626,2634,2634,1266714
2019-01-25,2636.25,2672.5,2634.5,2663.5,2663.5,1388741
2019-01-28,2660,2663.5,2622.25,2642,2642,1408636
2019-01-29,2640.25,2650,2628.5,2640.25,2640.25,1261703
2019-01-30,2648.5,2689.75,2636.25,2682.5,2682.5,1564987
2019-01-31,2683.5,2713,2675.75,2704.5,2704.5,1935195
2019-02-01,2707.75,2716,2695.5,2704.25,2704.25,1469597
2019-02-04,2699.25,2725,2697,2721.25,2721.25,1024581
2019-02-05,2719.5,2737.75,2716.25,2731,2731,1225737
2019-02-06,2730.75,2736.5,2722.25,2729.5,2729.5,1196377
2019-02-07,2727,2729.25,2685.5,2704,2704,1921663
2019-02-08,2702,2709,2680.75,2706.25,2706.25,1579544
2019-02-11,2710.75,2721.5,2700.5,2708.25,2708.25,1110070
2019-02-12,2707,2748,2705.5,2744.75,2744.75,1307152
2019-02-13,2743.5,2762,2742.75,2749.5,2749.5,1209879
2019-02-14,2749.25,2763,2730.25,2743.5,2743.5,1679091
2019-02-15,2741.25,2778.5,2729,2777,2777,1518783
2019-02-18,0,0,0,0,2777.875,0
2019-02-19,2777,2787.5,2766,2778.75,2778.75,1198092
2019-02-20,2777.75,2790.75,2773.25,2787,2787,1284923
2019-02-21,2787,2798,2764.25,2774.25,2774.25,1426061
2019-02-22,2773.5,2795.5,2770.5,2791.25,2791.25,1190834
2019-02-25,2799.5,2814,2794.5,2797,2797,1256092
2019-02-26,2795.75,2803.5,2783.25,2791.5,2791.5,1201641
2019-02-27,2788,2797.25,2775,2795,2795,1138855
2019-02-28,2795.25,2795.75,2781.75,2784.75,2784.75,1360457
2019-03-01,2785.25,2808.25,2783,2805,2805,1265597
2019-03-04,2814,2819.75,2767.5,2791.5,2791.5,1791972
2019-03-05,2790.5,2799,2783.25,2791.5,2791.5,1203448
2019-03-06,2786.5,2792.75,2768.5,2771.5,2771.5,1509846
2019-03-07,2770.5,2776.25,2738.5,2750,2750,1919820
2019-03-08,2749,2751.5,2722,2747,2747,1380324
2019-03-11,2745.5,2787.5,2736.75,2784,2784,1300372
2019-03-12,2784.75,2798.25,2780.5,2792,2792,958317
2019-03-13,2792.25,2821.25,2783,2814.5,2814.5,583009
2019-03-14,2816,2820,2803.75,2807.25,2807.25,330522
2019-03-15,2808,2821.5,2807.5,2811.889893,2811.889893,1382358
2019-03-18,2827,2842,2824,2840.5,2840.5,1036540
2019-03-19,2841.5,2858.75,2829,2836.5,2836.5,1497577
2019-03-20,2837.25,2849.25,2817.25,2827,2827,1693207
2019-03-21,2823.75,2866,2813.75,2862.5,2862.5,1657949
2019-03-22,2859.5,2864.75,2805.25,2810.75,2810.75,2254842
2019-03-25,2813,2818.5,2789.5,2807,2807,1801326
2019-03-26,2808.5,2835,2806,2823,2823,1461068
2019-03-27,2823.5,2831.75,2791.75,2810.5,2810.5,1726746
2019-03-28,2807,2824.25,2795,2821,2821,1185882
2019-03-29,2820.5,2840.75,2820.25,2837.75,2837.75,1491974
2019-04-01,2844.5,2873.5,2844.5,2870.5,2870.5,1256933
2019-04-02,2868.5,2873.75,2862.25,2867,2867,859942
2019-04-03,2866,2889.25,2865.25,2879.75,2879.75,1240848
2019-04-04,2880.75,2885.75,2871,2882.75,2882.75,1045539
2019-04-05,2882.5,2898,2880.5,2896,2896,1221029
