Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1865.5,1889,1865.5,1886.75,1886.75,205157
2010-01-05,1886.5,1890.25,1876,1885.25,1885.25,208698
2010-01-06,1885.25,1891.75,1872.25,1878.5,1878.5,261274
2010-01-07,1877.75,1880.5,1865.75,1877.5,1877.5,241321
2010-01-08,1877.5,1892.5,1865,1890,1890,268934
2010-01-11,1892.25,1900,1874.25,1883.5,1883.5,244841
2010-01-12,1882,1883.75,1850,1865.5,1865.5,328565
2010-01-13,1866,1889.5,1853.25,1882.5,1882.5,315109
2010-01-14,1882.25,1890.25,1876,1888.25,1888.25,206040
2010-01-15,1893,1894,1854.75,1862.25,1862.25,345081
2010-01-19,1861.75,1895.75,1857.5,1889.75,1889.75,333010
2010-01-20,1889.25,1892.25,1845.5,1867,1867,403528
2010-01-21,1867.75,1883.5,1838.75,1841,1841,501308
2010-01-22,1841.25,1849.25,1789.5,1797.75,1797.75,527630
2010-01-25,1794.75,1811.75,1792.5,1798.5,1798.5,340316
2010-01-26,1809.75,1823.75,1783.75,1796.5,1796.5,419117
2010-01-27,1798.75,1821.5,1787.75,1809,1809,443906
2010-01-28,1807.5,1820,1759.25,1770.5,1770.5,570517
2010-01-29,1777.75,1789.25,1731.75,1739.25,1739.25,538161
2010-02-01,1740,1758.25,1737,1755.75,1755.75,344059
2010-02-02,1756.25,1778,1747.75,1769,1769,331528
2010-02-03,1769,1786.5,1763.5,1785.5,1785.5,315040
2010-02-04,1784.5,1792,1731.5,1734.75,1734.75,483901
2010-02-05,1734,1747.75,1710.75,1745,1745,556768
2010-02-08,1747.25,1753.75,1730.5,1734.5,1734.5,295062
2010-02-09,1734,1767.25,1732,1752,1752,380797
2010-02-10,1752.5,1762.75,1736,1744.75,1744.75,296949
2010-02-11,1744.5,1778.75,1736.75,1775.5,1775.5,339083
2010-02-12,1773.25,1783.5,1754,1783.25,1783.25,328637
2010-02-16,1781.5,1801.5,1775.25,1799.25,1799.25,259717
2010-02-17,1799.25,1812.5,1797.5,1811.75,1811.75,238098
2010-02-18,1812,1824.75,1804.75,1820.75,1820.75,268313
2010-02-19,1819.25,1830,1801,1819.25,1819.25,281740
2010-02-22,1818.75,1833,1810.25,1821,1821,226172
2010-02-23,1819.75,1829,1785.25,1801,1801,348962
2010-02-24,1799.5,1819.75,1796.5,1814,1814,299224
2010-02-25,1813,1816,1780.5,1813.5,1813.5,353568
2010-02-26,1813,1822.25,1803.5,1818.5,1818.5,223029
2010-03-01,1821.25,1848.5,1821.25,1842.75,1842.75,257074
2010-03-02,1842.75,1862.25,1842.5,1852.25,1852.25,248834
2010-03-03,1851,1861.25,1845.75,1852,1852,216095
2010-03-04,1851.25,1860.75,1844.25,1859.75,1859.75,197677
2010-03-05,1858.75,1889.5,1857,1885.5,1885.5,287880
2010-03-08,1884,1894.75,1883.25,1888.25,1888.25,198595
2010-03-09,1888,1912,1881,1901.25,1901.25,332075
2010-03-10,1901.5,1921.25,1900,1918.75,1918.75,321409
2010-03-11,1917.5,1926.75,1909.25,1925.25,1925.25,217905
2010-03-12,1926,1935.25,1916.5,1926.75,1926.75,75098
2010-03-15,1924.5,1927.75,1906.5,1919.5,1919.5,95292
2010-03-16,1921.25,1934.5,1919,1931,1931,71010
2010-03-17,1930.25,1946.25,1929.75,1936.5,1936.5,54810
2010-03-18,1936,1945.5,1931.75,1944.5,1944.5,35228
2010-03-19,1944.5,1952,1941.5,1955.829956,1955.829956,295754
2010-03-22,1924.25,1954.25,1919,1948.5,1948.5,282045
2010-03-23,1948,1962,1940.5,1962.25,1962.25,218369
2010-03-24,1961,1962,1946,1951.5,1951.5,232925
2010-03-25,1951,1974.25,1945.75,1949.5,1949.5,301151
2010-03-26,1949,1963,1939.25,1951.75,1951.75,287784
2010-03-29,1952,1966.25,1951.75,1960.25,1960.25,220198
2010-03-30,1959.5,1972,1952.25,1965.5,1965.5,230740
2010-03-31,1964.5,1967.5,1952.5,1955.75,1955.75,232540
2010-04-01,1955.75,1977.25,1940.75,1952,1952,309482
2010-04-05,1964,1978.75,1955.25,1973.5,1973.5,200178
2010-04-06,1973,1985.75,1965.25,1978.75,1978.75,190613
2010-04-07,1979,1984.5,1964.25,1975,1975,259268
2010-04-08,1974,1982.5,1959.25,1980,1980,231684
2010-04-09,1979.5,1992.75,1975,1992,1992,190400
2010-04-12,1995,2001.75,1987.75,1992.5,1992.5,183339
2010-04-13,1991.25,2004,1984.25,2001.25,2001.25,228319
2010-04-14,2009.75,2026.75,2006.75,2026.5,2026.5,249031
2010-04-15,2026,2037.75,2017.75,2034.75,2034.75,251312
2010-04-16,2033,2035.25,1997.75,2009.75,2009.75,451415
2010-04-19,2004.5,2016.5,1985.75,2013,2013,338183
2010-04-20,2011.75,2025.25,2007,2024.25,2024.25,228510
